title,artist,image_url,genre
Show You,CXLOE,https://i.scdn.co/image/b33401a174717ec99423e48a8179dbec8134a919,australian alternative pop
I Can't Have Nice Things,CXLOE,https://i.scdn.co/image/b33401a174717ec99423e48a8179dbec8134a919,australian alternative pop
Good Love (feat. Tory Lanez),Nafe Smallz,https://i.scdn.co/image/9898114b9e083b94be7825e2baf61fae9f9d2fdd,trap soul
Like a Film (feat. M Huncho),Nafe Smallz,https://i.scdn.co/image/9898114b9e083b94be7825e2baf61fae9f9d2fdd,trap soul
Good Love (feat. Tory Lanez),Nafe Smallz,https://i.scdn.co/image/9898114b9e083b94be7825e2baf61fae9f9d2fdd,trap soul
Fake Love (feat. Yxng Bane),Nafe Smallz,https://i.scdn.co/image/9898114b9e083b94be7825e2baf61fae9f9d2fdd,trap soul
Told You So,Paramore,https://i.scdn.co/image/7c46ccf2b9b95366a3b660470e009dac3f21dc40,candy pop
Forgiveness,Paramore,https://i.scdn.co/image/7c46ccf2b9b95366a3b660470e009dac3f21dc40,candy pop
Hard Times,Paramore,https://i.scdn.co/image/7c46ccf2b9b95366a3b660470e009dac3f21dc40,candy pop
Fake Happy,Paramore,https://i.scdn.co/image/7c46ccf2b9b95366a3b660470e009dac3f21dc40,candy pop
26,Paramore,https://i.scdn.co/image/7c46ccf2b9b95366a3b660470e009dac3f21dc40,candy pop
Rose-Colored Boy,Paramore,https://i.scdn.co/image/7c46ccf2b9b95366a3b660470e009dac3f21dc40,candy pop
Fantastic Boy,BIGBANG,https://i.scdn.co/image/29e1fb0593d84c221e9447c6da7da5eff203e37a,k-pop
FXXK IT,BIGBANG,https://i.scdn.co/image/29e1fb0593d84c221e9447c6da7da5eff203e37a,k-pop
BANG BANG BANG - KR Ver.,BIGBANG,https://i.scdn.co/image/29e1fb0593d84c221e9447c6da7da5eff203e37a,k-pop
FXXK IT - KR Ver.,BIGBANG,https://i.scdn.co/image/29e1fb0593d84c221e9447c6da7da5eff203e37a,k-pop
Told You,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
For Me,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
G Love,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
Crepes And Cones (Ya Dun Know),Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
Champions League,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
On My Life,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
Wo Wo Wo,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
Khalas,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
Salaam,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
Keep Talking,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
I Spy - Remix,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
Wo Wo Wo,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
I Spy,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
Get A Stack,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
G Love,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
Ask Flipz,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
Tell Me,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
For Me,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
Last Night In LA - Konan Freestyle,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
First Time,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
I Spy (feat. Headie One & K-Trap),Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
Ban Drill,Krept & Konan,https://i.scdn.co/image/8bccd7af1b0e43413b80a2331550cc365a0a3edf,grime
Dans mon nuage,DTF,https://i.scdn.co/image/395b10276218f6223dcf325c35406f68a74462be,french hip hop
Wey,DTF,https://i.scdn.co/image/395b10276218f6223dcf325c35406f68a74462be,french hip hop
Coco Cuba,DTF,https://i.scdn.co/image/395b10276218f6223dcf325c35406f68a74462be,french hip hop
